Issue Key;Created Date;Коммуникация направлена;Новая;Отклонен;Размещено в БЗ;Согласовано ЦПК;Согласовано с бизнесом;Согласовано с маркетингом;ХОЛД;Resolution Date;T2M (days)
CAMPEIGN-37487;2025-08-01 10:43:44;63.1703;0.22039999999999998;0.0;0.0793;11.8826;11.0666;0.0273;16.6308;2025-11-12 12:34:59;103.07725694444444
CAMPEIGN-37507;2025-08-04 08:27:56;55.1274;1.2041;0.0;0.0073;27.8969;2.3305;0.8773;12.7279;2025-11-12 12:34:59;100.1715625
CAMPEIGN-37548;2025-08-05 08:44:18;79.0826;0.2001;0.0;0.0073;3.9416;3.0664;0.1402;12.7219;2025-11-12 12:34:58;99.16018518518518
CAMPEIGN-37554;2025-08-05 10:02:32;68.128;0.1467;0.0;0.0013;4.9923;1.9781;0.0662;23.7932;2025-11-12 12:34:57;99.1058449074074
CAMPEIGN-37563;2025-08-05 12:30:50;28.8523;12.7649;0.0;0.0017;0.2026;18.4959;2.4972;36.1883;2025-11-12 12:34:56;99.00284722222223
CAMPEIGN-37564;2025-08-05 12:39:18;28.8519;5.7602;0.0;0.0021;0.2026;0.30529999999999996;3.6496;60.2252;2025-11-12 12:34:56;98.9969675925926
CAMPEIGN-37565;2025-08-05 13:45:11;70.1028;6.1;0.0;0.0674;9.1136;10.8331;2.7343;0.0;2025-11-12 12:34:55;98.9512037037037
CAMPEIGN-37572;2025-08-05 16:05:47;14.9616;6.0135;3.0151;0.0284;8.9594;14.7807;2.8449;48.25;2025-11-12 12:34:55;98.85356481481482
CAMPEIGN-37573;2025-08-05 16:07:13;83.9085;0.0162;0.0;0.0167;2.2662;6.9961;3.0186;2.6301;2025-11-12 12:34:54;98.85255787037038
CAMPEIGN-37575;2025-08-05 16:47:34;14.9637;5.9801;0.0;0.0031;1.2517;6.0329;0.3216;70.2714;2025-11-12 12:34:53;98.82452546296297
CAMPEIGN-37582;2025-08-06 07:10:25;0.0;4.9959;77.8516;0.0;0.0;0.0;0.0;15.3778;2025-11-12 12:34:52;98.2253125
CAMPEIGN-37608;2025-08-06 12:43:50;0.0;6.8976;76.1463;0.0;0.0;0.6754;0.0;14.274500000000002;2025-11-12 12:34:52;97.99377314814815
CAMPEIGN-37620;2025-08-06 14:52:32;0.0;1.9575;79.2357;0.0;0.0;16.7113;0.0;0.0;2025-11-12 12:34:51;97.90438657407407
CAMPEIGN-37644;2025-08-07 11:48:45;64.0629;8.1296;0.0;0.0177;0.0261;12.7058;0.0937;11.9962;2025-11-12 12:34:51;97.03201388888888
CAMPEIGN-37672;2025-08-08 10:05:15;32.9297;12.1553;0.0;0.0241;4.1495;0.2648;0.0915;46.4889;2025-11-12 12:34:50;96.10387731481481
CAMPEIGN-37682;2025-08-08 12:22:32;43.2293;3.1731;0.0;0.0225;25.7645;23.8141;0.005;0.0;2025-11-12 12:34:50;96.00854166666667
CAMPEIGN-37684;2025-08-08 12:42:18;43.2309;3.1597;0.0;0.0022;22.0123;25.1117;2.4779;0.0;2025-11-12 12:34:49;95.99480324074074
CAMPEIGN-37699;2025-08-08 14:27:54;70.9194;9.6871;0.0;0.0122;0.0536;2.3543;0.8433;12.0515;2025-11-12 12:34:49;95.92146990740741
CAMPEIGN-37706;2025-08-10 18:23:27;61.0112;0.9242;0.0;0.0441;0.23229999999999998;12.7022;0.7053;18.1387;2025-11-12 12:34:47;93.75787037037037
