Employee Department;Field;Count
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Отдел маркетинга продуктовой фабрики;resolution;65
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Отдел маркетинга продуктовой фабрики;assignee;64
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Отдел маркетинга продуктовой фабрики;Comment;8
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Отдел маркетинга продуктовой фабрики;summary;4
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Отдел маркетинга продуктовой фабрики;Описание проекта/задачи бизнеса;2
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Отдел маркетинга продуктовой фабрики;reporter;1
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Управление event-маркетинга;Attachment;25
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Управление event-маркетинга;assignee;24
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Управление event-маркетинга;status;17
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Управление event-маркетинга;resolution;1
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга розничного бизнеса, Отдел маркетинга «Альфа-Выгодно»;Attachment;1
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;Attachment;583
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;description;46
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;Link;39
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;Comment;26
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;assignee;22
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;status;18
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;Описание проекта/задачи бизнеса;2
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;resolution;1
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;Attachment;97
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;status;73
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;assignee;50
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;resolution;33
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;Описание проекта/задачи бизнеса;7
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;summary;3
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;Comment;1
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;priority;1
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;reporter;1
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;Описание задачи;1
Департамент бизнес-маркетинга, Управление исследований и аналитики;Attachment;22
Департамент бизнес-маркетинга, Управление исследований и аналитики;assignee;7
Департамент бизнес-маркетинга, Управление исследований и аналитики;Component;2
Департамент бизнес-маркетинга, Управление исследований и аналитики;status;2
Департамент бизнес-маркетинга, Управление исследований и аналитики;Текст рассылки или сам макет;2
