Employee Department;Total Actions;Top 3 Operations
Департамент разработки банковских систем, Дирекция развития систем операционных процессов;2;Link (2)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление поддержки продаж торгового эквайринга, Отдел развития торгового эквайринга в регионах, Группа региональной поддержки торгового эквайринга;2;Attachment (2)
Департамент продаж и развития малого и микробизнеса, Дирекция по развитию и обслуживанию клиентов малого и микробизнеса, Управление по развитию сети обслуживания юридических лиц;2;Attachment (2)
Департамент развития эквайринга и платежных сервисов, Дирекция продаж продуктов электронной коммерции, Отдел развития процессов поддержки продаж;2;RemoteIssueLink (2)
Операционный департамент, Дирекция сопровождения клиентских операций, Управление поддержки процессов операционно-сервисного обслуживания клиентов, Отдел поддержки процессов;2;Attachment (2)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития расчетных продуктов, Управление разработки и развития продуктов ВЭД;2;description (1), Соисполнитель (1)
Дирекция разработки технологических продуктов на базе искусственного интеллекта, Центр внедрения и повышения эффективности использования искусственного интеллекта;2;Attachment (2)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление технической экспертизы и сопровождения проектов, Отдел технической экспертизы торгового эквайринга;2;Attachment (2)
Департамент повышения эффективности операционной деятельности, Управление методологии и операционных рисков, Отдел контроля и мониторинга операционных рисков;1;Attachment (1)
"Департамент контента и пользовательского опыта, Дирекция ""Alfa Research Center"", Управление ""Продуктовая редакция"", Отдел ""UX-редакция""";1;Attachment (1)
Департамент по управлению эффективностью и реализации проектов информационных технологий, Дирекция информационных технологий в г. Екатеринбурге, Центр разработки цифровых сервисов;1;RemoteIssueLink (1)
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел развития клиентского опыта;1;Текст рассылки или сам макет (1)
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга розничного бизнеса, Отдел маркетинга «Альфа-Выгодно»;1;Attachment (1)
Департамент CRM, персонализации и платформенных решений, Дирекция CRM аналитики, Управление CRM аналитики юридический лиц;1;Attachment (1)
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития некредитных и партнерских CRM продаж, Отдел развития партнерских программ;1;assignee (1)
Департамент CRM, персонализации и платформенных решений, Дирекция реализации CRM кампаний, Управление реализации целевых кампаний ФЛ, Отдел реализации кредитных целевых кампаний;1;assignee (1)
Департамент информационных технологий, Дирекция по управлению эффективностью и реализации проектов информационных технологий, Управление проектной деятельности информационных технологий;1;description (1)
Департамент дистанционной поддержки клиентов, Дирекция дистанционного обслуживания, Управление по обслуживанию юридических лиц, Отдел поддержки корпоративных клиентов;1;Attachment (1)
Департамент онлайн-продаж, Дирекция развития и оптимизации онлайн-трафика, Отдел маркетинга игровых механик;1;description (1)
Департамент продаж и развития среднего бизнеса, Отдел продаж зарплатных проектов;1;RemoteIssueLink (1)
Департамент развития бизнеса и инфраструктуры, Дирекция аналитики, развития продуктов и инфраструктуры инвестиционного бизнеса, Управление бизнес-анализа продуктов и инфраструктуры инвестиционного бизнеса;1;Link (1)
Департамент по разработке моделей, Дирекция продвинутой аналитики юридических лиц;1;Attachment (1)
Департамент продаж и развития малого и микробизнеса, Дирекция по развитию прямых продаж, Отдел эффективности прямых продаж;1;description (1)
Департамент разработки банковских систем, Дирекция развития центральных банковских систем, Управление разработки центральных банковских систем;1;Attachment (1)
Департамент развития платформы электронной коммерции, Дирекция развития продуктов и процессов, Управление развития продуктов;1;description (1)
Департамент развития цифровых каналов физических лиц;1;Comment (1)
Департамент развития цифровых каналов физических лиц, Управление продуктового дизайна физических лиц;1;Attachment (1)
Департамент сопровождения информационных технологий, Дирекция сопровождения информационных систем, Управление технической экспертизы процессов розничного бизнеса, Отдел технической экспертизы зарплатных систем;1;Link (1)
Департамент сопровождения информационных технологий, Дирекция сопровождения информационных систем, Управление технической экспертизы процессов дистанционного банковского обслуживания юридических лиц, Отдел технической экспертизы сервисных приложений;1;Attachment (1)
Департамент сопровождения информационных технологий, Дирекция инфраструктурных и пользовательских сервисов, Управление сопровождения персональной вычислительной техники, Отдел систем управления компьютерной техникой;1;RemoteIssueLink (1)
Департамент сопровождения информационных технологий, Дирекция сопровождения и интеграции центральных банковских систем, Управление функциональной экспертизы центральных банковских систем, Отдел функциональной экспертизы ЦБС;1;RemoteIssueLink (1)
Департамент разработки цифровых сервисов, Дирекция автоматизации расчетных розничных продуктов;1;description (1)
Департамент розничного инвестиционного бизнеса, Управление развития брокерских продуктов;1;Описание проекта/задачи бизнеса (1)
Департамент технологического развития малого и микробизнеса;1;RemoteIssueLink (1)
Управление продуктовой аналитики и координации развития цифровых каналов, Центр цифровой продуктовой аналитики;1;Attachment (1)
