Employee Department;Total Actions;Top 3 Operations
Департамент развития цифровых каналов юридических лиц, Управление продуктового дизайна юридических лиц;286;Attachment (67), assignee (56), Описание проекта/задачи бизнеса (54)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития накопительных продуктов;276;Attachment (258), status (4), Оценка выполнения (3)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития прайсинга, Управление тарификации и комплексных предложений, Отдел тарификации;271;Attachment (239), assignee (10), description (6)
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;267;Attachment (97), status (73), assignee (50)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление развития торгового эквайринга, Отдел развития процессов в цифровых каналах;266;Attachment (109), Link (47), RemoteIssueLink (19)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция сегментированных предложений и инноваций, Управление разработки отраслевых предложений;248;Attachment (202), status (9), Оценка выполнения (9)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление развития процессов сопровождения торгового эквайринга;235;Attachment (176), description (23), summary (16)
Дирекция развития сайта и платформы первичных продаж;233;Link (118), Attachment (31), status (23)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития расчетных продуктов, Отдел разработки и развития платежных инструментов;228;Attachment (150), Link (22), Rank (11)
Департамент технологического развития малого и микробизнеса, Управление технологического развития кроссблочных процессов;226;Attachment (135), description (55), Link (18)
Департамент продаж и развития малого и микробизнеса, Дирекция по развитию прямых продаж;226;Attachment (217), description (3), Comment (2)
Департамент развития кредитования малого бизнеса, Дирекция развития процессов и методологии, Управление развития клиентских сервисов и процессов масштабирования портфеля;223;Attachment (91), description (28), summary (14)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Управление методологии и тарификации;216;Link (125), status (14), assignee (13)
Департамент по развитию клиентской базы ЮЛ, Дирекция по развитию CRM продаж и коммуникациям с ЮЛ и ИП;214;Attachment (75), Link (48), assignee (30)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития и продвижения продуктов и сервисов ВЭД;168;Attachment (34), Текст рассылки или сам макет (14), assignee (13)
Департамент развития кредитования малого бизнеса, Дирекция развития процессов и методологии, Управление развития внешних и инфраструктурных процессов кредитования;158;Attachment (97), Link (10), description (10)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития процессов оформления и сопровождения клиента в Банке;147;Attachment (54), Link (22), assignee (16)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция сегментированных предложений и инноваций;146;Attachment (40), Link (25), description (16)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление поддержки продаж торгового эквайринга, Отдел развития торгового эквайринга в регионах;140;Attachment (103), Текст рассылки или сам макет (9), description (5)
Департамент технологического развития корпоративного бизнеса, Управление технологического развития транзакционного бизнеса и цифровых продаж;139;Attachment (75), RemoteIssueLink (24), Link (7)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития расчетных продуктов, Отдел разработки и развития продуктов работы с выручкой;137;Attachment (72), description (17), Текст рассылки или сам макет (6)
Департамент кредитования корпоративного бизнеса, Дирекция развития продуктов и систем принятия кредитных решений, Управление методологии классического кредитования и специальных проектов, Отдел классического кредитования и проектных инициатив;127;RemoteIssueLink (33), Attachment (19), assignee (17)
Департамент развития процессов сервиса и взыскания, Дирекция технологического развития, Управление бизнес-аналитики и администрирования;125;Attachment (87), status (12), Оценка выполнения (12)
Департамент развития кредитования малого бизнеса, Дирекция развития процессов и методологии, Управление развития цифрового кредитования;122;Attachment (33), description (17), RemoteIssueLink (9)
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция сопровождения клиентов по комплаенс рискам;118;Attachment (41), assignee (36), status (13)
Департамент развития эквайринга и платежных сервисов, Дирекция развития эквайринга, Отдел развития системы быстрых платежей;117;Attachment (61), status (10), assignee (9)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление развития торгового эквайринга, Отдел разработки и автоматизации процессов торгового эквайринга;114;Attachment (64), description (23), Дата запуска (10)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление поддержки продаж торгового эквайринга;110;Attachment (48), description (18), Link (7)
Департамент развития эквайринга и платежных сервисов, Дирекция развития эквайринга, Управление массовых выплат, Отдел развития и сопровождения продаж;107;Attachment (70), status (10), Оценка выполнения (10)
Департамент продаж и развития малого и микробизнеса, Дирекция по продажам и развитию микробизнеса, Отдел по агентским продажам и развитию микробизнеса, Группа по классическим партнерским заявкам 2;100;Attachment (59), RemoteIssueLink (8), description (8)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития расчетных продуктов, Отдел разработки и развития корпоративных карт;100;Attachment (50), description (16), Link (10)
Департамент развития цифровых каналов юридических лиц, Управление развития платформенных сервисов;100;Attachment (40), Link (15), description (9)
Департамент развития платформы электронной коммерции, Дирекция продаж, Управление цифровых продаж;100;Attachment (59), RemoteIssueLink (7), description (5)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития прайсинга, Отдел поддержки и автоматизации РКО;97;Attachment (48), description (18), status (6)
Департамент продаж и развития малого и микробизнеса, Управление координации и аналитики эффективности продаж малого и микробизнеса;95;Attachment (70), Link (10), description (5)
